Sample,Sex,Diet,Coat.Color,BMC1,BMC2,BMD1,BMD2,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,Calcium2,CHCM1,CHCM2,cHGB1,cHGB2,CHOL1,CHOL2,ct.EOS1,ct.EOS2,ct.LYM1,ct.LYM2,ct.MONO1,ct.MONO2,ct.NEUT1,ct.NEUT2,GLDH1,GLDH2,Glucose2,HCT1,HCT2,HDLD1,HDLD2,HDW1,HDW2,HR,HRV,INSULIN,Length1,Length2,LEPTIN,LTM1,LTM2,MCH1,MCH2,MCHC1,MCHC2,MCV1,MCV2,mHGB1,mHGB2,MPV1,MPV2,perc.EOS1,perc.EOS2,perc.Fat1,perc.Fat2,perc.LYM1,perc.LYM2,perc.MONO1,perc.MONO2,perc.NEUT1,perc.NEUT2,Phosphorus2,PLT1,PLT2,pNN50...6ms.,PQ,PR,QRS,QTC,QTc.dispersion,RBC1,RBC2,RDW1,RDW2,Retic1,Retic2,rMSSD,RR,ST,T.Area1,T.Area2,TG1,TG2,TTM1,TTM2,urine.creatinine2,urine.Glucose2,urine.microalbumin2,WBC1,WBC2
F01,F,hf,agouti,0.4528,0.4987,0.0525,0.0553,30.22,31.94,30.61,33.87,35.17,36.45,34.63,36.42,36.78,35.46,36.31,9.5,28,27.5,14.6,15.6,96,101,0.15345,0.26235,4.2174,4.0095,0.099,0.09405,0.46035,0.5544,8.2,16.6,210,52.1,56.8,78.2,82.8,1.49,1.48,820,6.8,0.735896348,9.1,8.9,17.47991675,19,18.2,14.4,14.2,29.5,28.3,48.9,50.3,15.4,16.1,6.4,6.1,3.1,5.3,38.12,46.48,85.2,81,2,1.9,9.3,11.2,5.8,1214,1219,0,17.5,23.9,10.3,44.7,22.4,10.66,11.29,12.3,12,2.84,0,1.06,73.2,28.4,25.97,27.31,111,96,30.71,34.03,22.86,14,0.11,4.95,5.76
F02,F,hf,black,0.4539,0.551,0.0519,0.0551,30.47,32.48,32.37,33.53,33.58,35.69,35.62,37.23,37.65,35.76,35.63,10.5,30.5,28.4,16.3,15.5,118,125,0.28509,0.25155,4.80181,4.66765,0.07267,0.12298,0.40807,0.50869,8.9,24.2,179,53.4,54.7,95.3,113.6,1.84,1.63,783,8.4,4.122334576,9.2,9.1,32.47373962,19.8,18.4,14.7,13.7,31.4,28.9,46.9,47.6,16.7,15.8,6.6,6.1,5.1,4.5,36.69,46.1,85.9,83.5,1.3,2.2,7.3,9.1,6.7,1171,1222,0,20.1,27.1,10.1,41.1,25.9,11.37,11.49,13.1,12.3,4.93,0,0.73,76.6,26.4,26.22,26.14,117,127,31.34,34.23,78.3,82,0,5.59,5.14
F03,F,hf,white,0.6764,0.8205,0.0618,0.0658,21.48,22.82,22.33,22.78,21.41,23.6,23.12,23.67,24.37,24.12,24,8.3,28.4,27.6,16.5,16,96,97,0.2616,0.12426,5.3955,5.57208,0.07194,0.0654,0.76518,0.7521,8,9.1,145,58.3,58.2,78.6,65.6,1.7,1.51,779,14.7,0.635474868,9,9.2,0.902815531,18.2,17.1,14.4,14.2,29.4,28.5,48.9,49.8,17.2,16.6,7.4,7.4,4,1.9,16,19.08,82.5,85.2,1.1,1,11.7,11.5,4.3,1062,992,0,23.8,30.6,10.2,46.7,30.2,11.92,11.69,14.7,12.8,3.91,0,1.78,77.1,31.3,18.61,19.85,76,121,21.69,21.14,60.46,93,0,6.54,4.89
F04,F,hf,agouti,0.4992,0.525,0.0516,0.0553,19.72,19.92,19.29,19.38,17.96,20.27,19.8,21.24,21.51,21.09,20.55,9.6,29.7,27.2,16.3,16.5,82,102,0.38528,0.25284,5.09292,4.62336,0.07224,0.04816,0.42742,1.04146,14.2,8.2,216,54.9,60.5,65.9,75.5,1.67,1.55,741,20.8,0.391325864,8.7,8.1,1.509661976,14.5,14.6,14.6,14,30.9,27.9,47.2,50.1,16.9,16.9,6.6,6.2,6.4,4.2,23.59,24.6,84.6,76.8,1.2,0.8,7.1,17.3,4.9,1177,1280,0,20.9,27.7,10,44,24.4,11.64,12.08,14,13.4,3.35,0,0.9,81.1,30.2,18.37,17.87,57,73,19,19.27,NA,NA,0,6.02,6.11
F05,F,hf,agouti,0.4793,0.4823,0.0534,0.0573,29.24,32.22,33.76,33.31,33.07,35.25,35.06,37.46,39.35,39.38,39.02,8.2,29.3,27.4,16.9,16.6,112,114,0.3102,0.23124,4.29768,4.3428,0.06204,0.20868,0.91932,0.8178,9.7,21,159,57.6,60.8,94,93.2,1.69,1.47,754,4.4,1.493564261,9.1,9.5,10.029733,22.5,23.6,14.2,13.9,30,28.1,47.3,49.6,17.3,17.1,7.1,5.9,5.5,4.1,29.07,39.89,76.2,77,1.1,3.7,16.3,14.5,4.4,1462,1746,0,23.7,31.2,11.6,44.3,23.9,12.18,12.26,14.4,12.2,3.28,0,0.66,79.6,28.4,25.29,28.28,83,62,31.84,39.23,87.88,109,0.7,5.64,4.78
F06,F,hf,agouti,0.4287,0.496,0.0522,0.0564,25.14,27.5,28.55,31.02,30.59,33.78,34.03,37.45,37.57,35.3,35.76,10.1,30.7,28.4,16.2,16.6,124,144,0.1656,0.31395,2.9739,2.64615,0.05175,0.1104,0.2415,0.3519,11.6,10.8,198,52.9,58.6,105.2,131.8,1.81,1.44,795,53,0.315926102,8.8,9.1,53.58187481,18.2,19,15.8,15,30.7,29.3,51.4,51.2,16.2,17.1,6,6.9,4.8,9.1,31.61,43.97,86.2,76.7,1.5,3.2,7,10.2,4.5,1187,1002,4.69,20.6,27.3,10.1,43.2,64,10.28,11.44,13.7,12,5.54,0,13.58,76.1,27.9,23.51,27.51,80,62,26.58,33.86,37.16,65,0,3.45,5.11
F07,F,hf,white,0.4699,0.4725,0.0568,0.0553,24.68,27.56,28.05,27.73,27.54,27.64,29.85,32.66,31.39,31.46,32.89,9.3,28.8,28.7,14.9,15.6,106,102,0.1742,0.1139,5.6213,5.6213,0.1005,0.1206,0.7638,0.7839,11.9,6,213,51.7,54.5,75,78.1,2.22,1.66,817,4.2,0.917857964,8.9,9,8.717730659,18.8,21.5,15.5,15.1,30,29.8,51.5,50.8,15.5,16.2,7.5,7.6,2.6,1.7,28.84,29.88,83.9,83.9,1.5,1.8,11.4,11.7,4.9,1270,1387,0,22.6,29.6,10.3,47.8,25.3,10.05,10.73,15,14.9,7.74,2.64,0.53,73.4,31.2,21.22,23.72,117,157,26.36,30.6,45.06,117,0.07,6.7,8.85
F08,F,hf,agouti,0.5412,0.5771,0.0561,0.0574,33.7,36.44,35.66,37.96,40.22,43.48,46.82,49.15,49.73,48.49,47.04,8.8,29.1,28.4,16.6,15.1,78,98,0.48816,0.15368,3.65668,3.73352,0.08588,0.12656,0.2712,0.452,8.8,7.9,203,57.1,53.4,71.2,91,1.58,1.59,777,84.3,1.598754315,9.3,10,116.1529966,20.2,21.8,15.2,14.6,30.1,28.9,50.6,50.5,17.2,15.5,6.8,5.9,10.8,3.4,42.95,51.71,80.9,82.6,1.9,2.8,6,10,4.7,1048,1220,14.1,21.3,27.7,10.1,45.1,56.2,11.27,10.56,12.8,13.5,4.84,2.71,19.89,78.7,30.2,27.91,34.07,47,62,35.36,45.13,103.68,101,0,4.52,5.3
F09,F,hf,agouti,0.617,0.6717,0.0589,0.0617,19.76,19.39,19.49,20.21,20.67,20.81,21.06,21.28,21.45,21.25,21.68,10.4,29.4,NA,15.2,NA,83,85,0.15548,NA,2.49106,NA,0.04056,NA,0.66924,NA,13.2,9.7,148,51.6,NA,69.1,69.2,1.95,NA,NA,NA,0.419182345,8.5,9,1.093408909,14.5,16,14.8,NA,30.1,NA,49.2,NA,15.5,NA,6.5,NA,4.6,NA,18.27,17.21,73.7,NA,1.2,NA,19.8,NA,5.5,1375,NA,NA,NA,NA,NA,NA,NA,10.47,NA,17.1,NA,6.2,NA,NA,NA,NA,17.61,19.92,55,54,17.74,19.3,77.55,157,0,3.38,NA
F10,F,hf,black,0.3653,0.3979,0.0487,0.0516,22.47,23.16,23.49,24.91,24.8,26.26,27.07,27.77,27.47,27.95,27.87,8.3,30.7,29.6,15.5,15.5,99,81,0.14712,0.15938,5.41892,4.9653,0.07356,0.1226,0.45362,0.85207,9.8,9.8,164,50.5,52.3,82.5,72.7,2.01,1.68,806,4.7,0.251365782,8.5,8.9,21.7421198,15,16.9,15.5,15,31.1,29.7,50,50.4,15.7,15.5,6.5,5.6,2.4,2.6,32.22,37.12,88.4,81,1.2,2,7.4,13.9,4.2,1234,1313,0,19.7,26.7,10.9,42.8,25.7,10.11,10.37,14.5,13.1,7.31,3.71,0.65,74.5,26.5,19.37,23.37,67,61,22.08,26.89,79.75,108,0,6.13,5.52
